ordem,status,canal,tipo,titulo,arquivo_local,arquivos_publicos,media_url,media_urls,legenda,publish_at,fonte,slug
1,PENDENTE_REVISAO,instagram,post_imovel_card,Casa Caminho do Parque,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\01-casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\01-casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/01-casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/01-casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista.jpg,"Casa Caminho do Parque

Área gourmet, piscina aquecida e 3 suítes.

Valor: R$ 2.600.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-03T12:30-03:00,,casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista
2,PENDENTE_REVISAO,instagram,post_imovel_card,Casa Parque dos Ipes I,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\02-casa-terrea-a-venda-parque-dos-ipes-i-boa-vista.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\02-casa-terrea-a-venda-parque-dos-ipes-i-boa-vista.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/02-casa-terrea-a-venda-parque-dos-ipes-i-boa-vista.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/02-casa-terrea-a-venda-parque-dos-ipes-i-boa-vista.jpg,"Casa Parque dos Ipes I

Casa térrea com tecnologia, energia solar e automação.

Valor: R$ 2.000.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-03T19:30-03:00,,casa-terrea-a-venda-parque-dos-ipes-i-boa-vista
3,PENDENTE_REVISAO,instagram,post_imovel_card,Casa Duplex Boa Vista,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\03-casa-duplex-a-venda-boa-vista.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\03-casa-duplex-a-venda-boa-vista.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/03-casa-duplex-a-venda-boa-vista.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/03-casa-duplex-a-venda-boa-vista.jpg,"Casa Duplex Boa Vista

500 m2, lazer completo, energia solar e poco artesiano.

Valor: R$ 1.500.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-04T12:30-03:00,,casa-duplex-a-venda-boa-vista
4,PENDENTE_REVISAO,instagram,post_imovel_card,Casa Alphaville I,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\04-casa-terrea-a-venda-alphaville-i-primavera.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\04-casa-terrea-a-venda-alphaville-i-primavera.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/04-casa-terrea-a-venda-alphaville-i-primavera.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/04-casa-terrea-a-venda-alphaville-i-primavera.jpg,"Casa Alphaville I

Casa térrea de esquina com 4 suítes no Alphaville I.

Valor: R$ 1.420.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-04T19:30-03:00,,casa-terrea-a-venda-alphaville-i-primavera
5,PENDENTE_REVISAO,instagram,post_imovel_card,Apartamento Mansao Joaquim Gusmao Sales,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\05-apartamento-a-venda-bairro-candeias-candeias.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\05-apartamento-a-venda-bairro-candeias-candeias.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/05-apartamento-a-venda-bairro-candeias-candeias.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/05-apartamento-a-venda-bairro-candeias-candeias.jpg,"Apartamento Mansao Joaquim Gusmao Sales

172 m², 3 suítes, 3 vagas e lazer privativo.

Valor: R$ 1.600.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-05T12:30-03:00,,apartamento-a-venda-bairro-candeias-candeias
6,PENDENTE_REVISAO,instagram,post_imovel_card,Apartamento Mansao Leonardo da Vinci,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\06-apartamento-a-venda-candeias.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\06-apartamento-a-venda-candeias.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/06-apartamento-a-venda-candeias.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/06-apartamento-a-venda-candeias.jpg,"Apartamento Mansao Leonardo da Vinci

190 m², 4 suítes, 4 vagas e vista em Candeias.

Valor: R$ 1.300.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-05T19:30-03:00,,apartamento-a-venda-candeias
7,PENDENTE_REVISAO,instagram,post_imovel_card,Casa Horto Premier,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\07-casa-terrea-a-venda-horto-premier-primavera.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\07-casa-terrea-a-venda-horto-premier-primavera.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/07-casa-terrea-a-venda-horto-premier-primavera.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/07-casa-terrea-a-venda-horto-premier-primavera.jpg,"Casa Horto Premier

Casa térrea com 3 suítes em condomínio.

Valor: R$ 950.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-06T12:30-03:00,,casa-terrea-a-venda-horto-premier-primavera
8,PENDENTE_REVISAO,instagram,post_imovel_card,Apartamento Maison du Soleil,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\08-apartamento-a-venda-bairro-candeias-candeias-2.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\08-apartamento-a-venda-bairro-candeias-candeias-2.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/08-apartamento-a-venda-bairro-candeias-candeias-2.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/08-apartamento-a-venda-bairro-candeias-candeias-2.jpg,"Apartamento Maison du Soleil

105 m2, 3 quartos, 2 vagas e praticidade em Candeias.

Valor: R$ 500.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-06T19:30-03:00,,apartamento-a-venda-bairro-candeias-candeias-2
9,PENDENTE_REVISAO,instagram,post_imovel_card,Terreno Av. Brasil,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\09-terreno-a-venda-av-brasil-candeias.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\09-terreno-a-venda-av-brasil-candeias.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/09-terreno-a-venda-av-brasil-candeias.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/09-terreno-a-venda-av-brasil-candeias.jpg,"Terreno Av. Brasil

396 m2 em localizacao estrategica na Av. Brasil.

Valor: R$ 430.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-07T12:30-03:00,,terreno-a-venda-av-brasil-candeias
10,PENDENTE_REVISAO,instagram,post_imovel_card,Terreno de esquina Haras Camping Club,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\10-terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg,C:\Users\Thiago Porto\imbiliaria-priscila\assets\marketing\instagram-2026-07-03\cards-imoveis\10-terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/10-terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/10-terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg,"Terreno de esquina Haras Camping Club

1.000 m2 de esquina para construir com liberdade.

Valor: R$ 290.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-07T19:30-03:00,,terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca
