bairro|rua|tipo|area_m2|quartos|suites|vagas|padrao|acab|comercial|preco|data|fonte|titulo
Alto Maron|Alphaville 2|casa|340|4|4|5|alto|pronto|nao|1500000|05/2026|OLX|Duplex Alphaville 2 340m2
Alto Maron|Cond Jardim Madrid|casa|80|3|1|2|medio|pronto|nao|410000|06/2026|OLX|Casa Jardim Madrid 80m2
Alto Maron|Cond Jardim Madrid|casa|133|3|2|2|alto|pronto|nao|450000|04/2026|OLX|Casa Jardim Madrid 133m2
Alto Maron|Lot Santa Cecilia|casa|75|3|2|2|medio|pronto|nao|350000|11/2026|OLX|Casa Santa Cecilia 75m2
Alto Maron|Lot Santa Cecilia|casa|75|3|1|1|medio|pronto|nao|350000|10/2026|OLX|Casa Santa Cecilia 75m2 b
Alto Maron|Lot Santa Cecilia|casa|200|3|2|2|alto|pronto|nao|549000|12/2026|OLX|Casa Santa Cecilia 200m2 3 suites
Alto Maron|Lot Santa Cecilia|casa|180|4|3|1|alto|pronto|nao|590000|12/2026|OLX|Casa Santa Cecilia 180m2 4/4
Alto Maron|Rua Duarte da Costa|casa|193|3|1|2|medio|pronto|nao|250000|06/2026|humbertoalves|Casa Duarte da Costa 193m2
Alto Maron|Rua C|apartamento|62|2|1|2|simples|pronto|nao|270000|06/2026|ChavesNaMao|Apt Rua C 62m2
Alto Maron|Cond Belvedere|apartamento|43|2|1|1|simples|pronto|nao|210000|04/2026|OLX|Apt Belvedere 43m2
Alto Maron|Cond Belvedere|apartamento|48|2|1|1|simples|pronto|nao|175000|04/2026|OLX|Apt Belvedere 48m2
Alto Maron|Cond Belvedere|apartamento|48|2|1|1|simples|pronto|nao|180000|05/2026|OLX|Apt Vitoria Bellvedere 48m2
Alto Maron|Cond Belvedere|apartamento|48|2|1|1|simples|pronto|nao|215000|05/2026|OLX|Apt Belvedere terreo 48m2
Alto Maron|Cond Belvedere|apartamento|48|2|1|1|simples|pronto|nao|235000|05/2026|OLX|Apt Belvedere terreo 48m2 b
Alto Maron|Cond Cidadela Residence|apartamento|62|2|1|2|medio|pronto|nao|270000|02/2026|OLX|Apt Cidadela 62m2
Alto Maron|Cond Cidadela Residence|apartamento|69|3|1|2|medio|pronto|nao|310000|02/2026|OLX|Apt Cidadela 69m2 novo
Alto Maron|Cond Maron Premium|apartamento|50|2|1|1|simples|pronto|nao|220000|01/2026|OLX|Apt Maron Premium 50m2
Alto Maron||casa|85|3|1|2|medio|pronto|nao|320000|01/2026|OLX|Casa terrea nova 85m2
Alto Maron||casa|90|3|2|2|medio|pronto|nao|300000|09/2026|OLX|Casa 90m2 Alto Maron
Alto Maron||casa|127|4|2|2|medio|pronto|nao|350000|02/2026|OLX|Casa 127m2 4/4
Alto Maron||casa|247|4|2|3|alto|pronto|nao|650000|02/2026|OLX|Casa terrea 247m2 4/4
Alto Maron||casa|130|3|2|1|medio|pronto|nao|500000|04/2026|OLX|Casa 130m2 3/4
Alto Maron||casa|120|3|1|1|medio|pronto|nao|250000|06/2026|OLX|Casa solta 3/4 120m2
Alto Maron||casa|408|3|0|2|medio|pronto|sim|690000|06/2026|OLX|Casa 408m2 area comercial
Alto Maron||apartamento|172|4|1|2|medio|pronto|nao|280000|06/2026|OLX|Apt 4/4 172m2
Alto Maron||casa|236|4|2|1|medio|pronto|nao|390000|06/2026|OLX|Casa 4/4 3 pav 236m2
Alto Maron||casa|180|4|2|1|alto|pronto|nao|590000|06/2026|OLX|Casa 4/4 180m2 Santa Cecilia
Alto Maron||casa|240|4|3|5|alto|pronto|nao|470000|06/2026|OLX|Casa duplex 4/4 240m2
