bairro|rua|tipo|area_m2|quartos|suites|vagas|padrao|acab|comercial|preco|data|fonte|titulo
Felicia||apartamento|54|2|1|1|medio|pronto|nao|235000|06/2026|OLX|Apt Felicia 54m2
Felicia||casa|160|4|2|2|alto|pronto|nao|550000|06/2026|OLX|Casa Felicia 160m2
Felicia|Cond Parque Vitoria Sul|apartamento|45|2|1|1|simples|pronto|nao|220000|06/2026|OLX|Apt Parque Vitoria Sul 45m2
Felicia||apartamento|56|2|1|1|simples|pronto|nao|180000|06/2026|OLX|Apt 56m2 Felicia
Felicia||apartamento|55|2|1|1|simples|pronto|nao|180000|06/2026|OLX|Apt 55m2 Felicia
Felicia|Cond Morada dos Passaros 3|casa|65|3|1|2|medio|pronto|nao|270000|06/2026|OLX|Casa Morada dos Passaros 3 65m2
Felicia||casa|128|3|2|3|alto|pronto|nao|600000|06/2026|OLX|Casa mobiliada Felicia 128m2
Felicia|Cond Parque Real|casa|125|3|2|2|medio|pronto|nao|275000|06/2026|OLX|Casa Parque Real 125m2
Felicia||casa|230|2|4|3|alto|pronto|nao|580000|06/2026|OLX|Casa 2 suites superior 230m2
Felicia||casa|130|3|4|3|alto|pronto|nao|490000|06/2026|OLX|Casa 3/4 px Shopping Sul 130m2
Felicia||casa|84|3|1|2|medio|pronto|nao|380000|05/2026|OLX|Casa duplex 3/4 84m2
Felicia||casa|80|3|1|2|medio|pronto|nao|395000|05/2026|OLX|Casas px Shopping Sul 80m2
Felicia||apartamento|55|2|2|1|simples|pronto|nao|175000|05/2026|OLX|Apt px Anhanguera 55m2
Felicia|Cond Plaza Morada dos Passaros|apartamento|49|2|1|1|simples|pronto|nao|145000|05/2026|OLX|Apt Plaza Morada Passaros 49m2
Felicia|Cond MRV Vitoria|apartamento|44|2|1|1|simples|pronto|nao|229000|05/2026|OLX|Apt MRV Vitoria 44m2
Felicia||apartamento|40|2|1|1|medio|pronto|nao|235000|05/2026|OLX|Apt planejado 3 andar 40m2
Felicia|Cond Recanto dos Passaros|casa|92|3|2|2|alto|pronto|nao|450000|05/2026|OLX|Casa Recanto dos Passaros 92m2
Felicia||casa|200|3|2|4|alto|pronto|nao|850000|05/2026|OLX|Casa Solta px Shopping Sul 200m2
Felicia|Cond Morada dos Passaros|casa|90|2|2|1|medio|pronto|nao|350000|05/2026|OLX|Casa Morada dos Passaros 90m2
Felicia|Res Maria Luiza Quadros|apartamento|190|4|2|4|luxo|pronto|nao|1200000|05/2026|OLX|Apt Maria Luiza Quadros 190m2
Felicia|Cond Morada dos Passaros|apartamento|69|3|1|1|medio|pronto|nao|235000|05/2026|OLX|Apt Morada dos Passaros 69m2
