bairro|rua|tipo|area_m2|quartos|suites|vagas|padrao|acab|comercial|preco|data|fonte|titulo
Morada dos Passaros||casa|120|3|2|2|medio|pronto|nao|400000|abr/2026|OLX|Casa Morada dos Passaros 3q
Zabele||casa|78|3||2|simples|pronto|nao|250000|abr/2026|OLX|Casa Bairro Zabele
Candeias||casa|360|4|2|4|luxo|pronto|nao|1582000|abr/2026|OLX|Casa Cond Ipe II 360m2
Candeias||apartamento|100|3|1|1|medio|pronto|nao|640000|abr/2026|OLX|Conde Residencial II 100m2
Felicia||casa|120|3|1|3|medio|pronto|nao|390000|abr/2026|OLX|Casa Duplex Felicia px Shopping
Universidade||casa|170|3||4|alto|pronto|nao|999000|abr/2026|OLX|Linda casa Alphaville 1
Candeias||apartamento|118|3|2|1|alto|pronto|nao|850000|abr/2026|OLX|Res Morada Nobre da Colina 118m2
Candeias||cobertura|360|5|4|5|luxo|pronto|nao|2880000|abr/2026|OLX|Cobertura Candeias 360m2
Candeias||apartamento|86|3|2|2|medio|pronto|nao|310000|abr/2026|OLX|Apt 3/4 Jardim Candeias 86m2
Candeias||cobertura|251|4|4|5|luxo|pronto|nao|1450000|abr/2026|OLX|Cobertura 4q Candeias 251m2
Candeias||apartamento|90|3|2|1|medio|pronto|nao|550000|abr/2026|OLX|Apt 90m2 Candeias
Boa Vista||apartamento|70|3|2|1|medio|pronto|nao|450000|abr/2026|OLX|Res Jardim Boa Vista 70m2
Candeias||apartamento|67|3|1|1|medio|pronto|nao|395000|abr/2026|OLX|Apt 67m2 Candeias Fainor
Felicia||casa|110|3|4|2|medio|pronto|nao|450000|abr/2026|OLX|Casa 3q Felicia 110m2
Cidade Modelo||casa|110|3|3|1|medio|pronto|nao|340000|abr/2026|OLX|Casa 3/4 Lot Cidade Modelo
Bateias||apartamento|60|2|2|1|simples|pronto|nao|240000|abr/2026|OLX|Apt 60m2 Bateias 2q
Morada da Primavera||casa|500|4|4|4|alto|pronto|nao|1100000|abr/2026|OLX|Casa 4q 3 suites Morada Primavera
Primavera||apartamento|60|2|2|1|simples|pronto|nao|320000|mar/2026|OLX|Apt 60m2 Primavera
Boa Vista||apartamento|76|3|1|1|simples|pronto|nao|265000|mar/2026|OLX|Apt 76m2 Boa Vista 3q
Boa Vista||apartamento|90|3|1|1|medio|pronto|nao|400000|mar/2026|OLX|Apt Res Dona Nini 90m2
Boa Vista||apartamento|94|3|2|4|medio|pronto|nao|580000|mar/2026|OLX|Apt 3/4 2 suites Boa Vista
Boa Vista||apartamento|94|3|2|4|medio|pronto|nao|690000|mar/2026|OLX|Apt 3/4 2 suites Boa Vista 690k
Boa Vista||apartamento|56|2|1|1|simples|pronto|nao|260000|mar/2026|OLX|Apt 56m2 Boa Vista 2q
Boa Vista||casa|190|3|4|1|alto|pronto|nao|970000|mar/2026|OLX|Casa Green Ville 190m2 Boa Vista
Felicia||casa|150|3|1||alto|pronto|nao|850000|mar/2026|OLX|Casa 150m2 Felicia 3q
Universidade||casa|298|4|4|4|luxo|pronto|nao|1490000|mar/2026|OLX|Duplex 4/4 Alphaville Universidade
Boa Vista||casa|150|4|2|1|alto|pronto|nao|1650000|mar/2026|OLX|Casa Esplanada Parque 150m2 4/4
Felicia||apartamento|60|3|2|1|simples|pronto|nao|340000|mar/2026|OLX|Apt 60m2 Felicia 3q
Boa Vista||apartamento|95|3|1|1|medio|pronto|nao|580000|mar/2026|OLX|Apt 95m2 Boa Vista condo
Candeias||apartamento|68|3|1|1|simples|pronto|nao|350000|mar/2026|OLX|Apt 68m2 Candeias 3/4
Felicia||casa|135|3|2|2|medio|pronto|nao|525000|mar/2026|OLX|Casa Duplex px Shopping Sul 135m2
Universidade||casa|182|3|4|3|alto|pronto|nao|1249000|mar/2026|OLX|Casa 3 Suites Alphaville1
Universidade||casa|198|3|4|4|alto|pronto|nao|1030000|mar/2026|OLX|Casa 3 Suites AlphaVille2
Boa Vista||casa|180|4|2|4|alto|pronto|nao|1100000|mar/2026|OLX|Duplex 4q LORD Res Boa Vista
Universidade||casa|325|4|4|5|luxo|pronto|nao|2080000|mar/2026|OLX|Casa 4 Suites AlphaVille1
