bairro|rua|tipo|area_m2|quartos|suites|vagas|padrao|acab|comercial|preco|data|fonte|titulo
Primavera|Cond Vivendas do Bosque|casa|76|3|2|2|simples|pronto|nao|255000|06/2026|OLX|Casa Vivendas do Bosque 76m2
Primavera|VOG Fiori|apartamento|57|2|1|2|simples|pronto|nao|190000|06/2026|OLX|Apt VOG Fiori 57m2
Primavera|Cond Duque Du Lest|casa|141|4|2|5|alto|pronto|nao|650000|06/2026|OLX|Casa Duque Du Lest 141m2
Primavera||casa|78|3|0|0|medio|pronto|nao|300000|06/2026|OLX|Casa Primavera 78m2
Primavera||casa|150|3|0|0|medio|pronto|nao|330000|06/2026|OLX|Casa nova 150m2
Primavera||casa|180|3|2|3|alto|pronto|nao|440000|06/2026|OLX|Casa 3/4 condominio 180m2
Primavera||casa|85|2|2|2|medio|pronto|nao|350000|05/2026|OLX|Casa cond fechado 85m2
Primavera||casa|80|2|2|2|medio|pronto|nao|380000|05/2026|OLX|Casa ampla 80m2
Primavera||apartamento|48|2|1|1|simples|pronto|nao|170000|05/2026|OLX|Apt Mirante Candeias 48m2
Primavera|Cond Horto Premier|casa|125|3|2|3|alto|pronto|nao|750000|05/2026|OLX|Casa Horto Premier 125m2
Primavera||casa|86|3|2|2|medio|pronto|nao|280000|05/2026|OLX|Casa Primavera 86m2
Primavera|Cond Parque Belvedere|apartamento|48|2|1|1|simples|pronto|nao|180000|05/2026|OLX|Apt Parque Belvedere 48m2
Primavera||casa|80|3|2|4|alto|pronto|nao|469990|05/2026|OLX|Casa alto padrao cond 80m2
Primavera||apartamento|51|2|1|2|simples|pronto|nao|260000|04/2026|OLX|Apt terreo cond 51m2
Primavera||casa|125|3|0|0|medio|pronto|nao|330000|04/2026|OLX|Casa terreno 125m2
Primavera||apartamento|53|2|1|2|medio|pronto|nao|269000|04/2026|OLX|Apt novo decorado 53m2
Primavera||casa|95|3|2|4|alto|pronto|nao|440000|04/2026|OLX|Casa Condominio 95m2
Primavera|Cond Conde Residencial III|casa|77|3|2|2|medio|osso|nao|290000|04/2026|OLX|Casa Conde III sem acabamento 77m2
Primavera|Cond Horto Premier|casa|164|3|2|4|alto|pronto|nao|950000|04/2026|OLX|Casa Horto Premier 164m2
Primavera|VOG Parque Premier|casa|64|2|2|3|medio|pronto|nao|422000|04/2026|OLX|Casa VOG Parque Premier 64m2
Primavera|Cond Vivendas da Serra|casa|150|3|2|2|medio|pronto|nao|350000|04/2026|OLX|Casa Vivendas da Serra 150m2
Primavera|VOG Primavera|casa|130|3|2|3|alto|pronto|nao|420000|04/2026|OLX|Casa VOG Primavera 130m2
Primavera||casa|60|2|2|1|medio|pronto|nao|320000|03/2026|OLX|Casa 60m2 Primavera
Primavera|Cond Conde Residencial III|casa|77|3|2|2|medio|pronto|nao|420000|03/2026|OLX|Casa Conde III 77m2
Primavera|Cond Horto Premier|casa|155|3|4|4|alto|pronto|nao|950000|03/2026|OLX|Casa Horto Premier 155m2 3 suites
Primavera|Cond Horto Premier|casa|172|3|4|4|alto|pronto|nao|975000|03/2026|OLX|Casa Horto Premier 172m2
Primavera|Cond Conde Residencial III|casa|77|3|2|2|medio|pronto|nao|390000|03/2026|OLX|Casa Conde III 77m2 b
Primavera|Cond Horto Premier|casa|168|3|4|4|alto|pronto|nao|975000|03/2026|OLX|Casa Horto Premier 168m2
Recreio||apartamento|150|4|2|3|alto|pronto|nao|650000|06/2026|OLX|Excelente apt Recreio 150m2
Recreio||casa|170|4|2|5|alto|pronto|nao|660000|06/2026|OLX|Casa Recreio 170m2
Recreio||casa|480|3|3|0|luxo|pronto|nao|3000000|06/2026|OLX|Casa 480m2 Recreio
Recreio||casa|84|3|2|2|alto|pronto|nao|500000|06/2026|OLX|Casa Paradise Residence 84m2
Recreio||apartamento|220|4|2|3|alto|pronto|nao|950000|06/2026|OLX|Apt 4 quartos Recreio 220m2
Recreio|Portal das Arvores|apartamento|480|5|4|5|luxo|pronto|nao|4490000|06/2026|OLX|Apt Portal das Arvores 480m2
Recreio|Ed Malu Andrade|apartamento|89|3|2|4|alto|pronto|nao|535000|06/2026|OLX|Apt Malu Andrade 89m2
Recreio||casa|360|4|2|3|luxo|pronto|nao|1600000|05/2026|OLX|Casa Recreio 360m2
Recreio|Cond Central Park|casa|360|4|5|0|luxo|pronto|nao|1100000|05/2026|OLX|Casa Central Park 360m2
Recreio||casa|300|5|4|4|alto|pronto|nao|700000|05/2026|OLX|Casa espacosa Recreio 300m2
Recreio||apartamento|39|1|1|1|medio|pronto|nao|276722|05/2026|OLX|Apt 1 quarto 39m2
Recreio|Av Jonas Hortelio|casa|435|2|0|0|luxo|pronto|nao|2450000|05/2026|OLX|Casa Av Jonas Hortelio 435m2
Recreio||casa|900|5|5|4|luxo|pronto|nao|2500000|05/2026|OLX|Casa Recreio 900m2
Recreio||apartamento|168|4|2|2|alto|pronto|nao|550000|05/2026|OLX|Apt 3/4 rev 4/4 168m2
Recreio||apartamento|70|2|1|3|alto|pronto|nao|485000|05/2026|OLX|Apt San Francesco 70m2
Recreio||apartamento|108|3|2|4|alto|osso|nao|699000|05/2026|OLX|Apt alto padrao osso 108m2
Recreio||casa|250|4|4|2|alto|pronto|nao|900000|05/2026|OLX|Casa ampla Recreio 250m2
